bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;1.0;1.0;5.0;0.0;0.0;1.0;1.0;2177.8;25008.0;220.0;-3.703586460091787;40.41699254425514;914.0;285.0;55.0;44.0;2.0;306.0;17.0;19.0
1.0;1.0;2.0;20.0;0.0;1.0;1.0;1.0;929.9999999999998;28013.078520122013;280.0;-3.673156518523229;40.429484439729606;1028.0;321.0;27.0;10.0;7.0;302.0;10.0;30.0
2.0;1.0;3.0;30.0;1.0;0.0;2.0;1.0;1370.4;28028.0;100.0;-3.6653969461285705;40.42428522969114;1128.0;450.0;53.99999999999999;24.0;1.0;329.0;0.0;75.0
1.0;1.0;2.0;10.0;0.0;1.0;1.0;1.0;1065.2;28014.0;214.0;-3.695909407497224;40.41155788636181;295.0;434.00000000000006;27.0;17.0;2.0;86.0;10.0;35.0
1.0;1.0;2.0;35.0;0.0;1.0;1.0;1.0;950.0;28014.0;300.0;-3.695842738763018;40.41123090849735;955.0;272.0;7.0;7.0;6.000000000000001;256.0;7.0;39.0
1.0;1.0;2.0;33.0;0.0;1.0;1.0;1.0;949.4;28004.000000000004;103.0;-3.702876690988802;40.42512392592483;1552.0;376.0;75.0;52.0;2.0;75.0;22.0;61.0
1.0;2.0;5.0;20.0;1.0;0.0;3.0;1.0;1403.9999999999998;28045.0;90.0;-3.695199688210144;40.3977746786434;1587.9999999999998;526.0;0.0;0.0;4.0;0.0;0.0;75.0
1.0;0.0;2.0;60.0;1.0;0.0;1.0;2.0;1668.7999999999995;28039.0;100.0;-3.71035067496012;40.45494931197119;933.0;545.0;71.0;41.0;46.0;346.0;11.0;31.0
1.0;2.0;4.0;20.0;1.0;0.0;2.0;3.0;1500.0;28006.0;200.0;-3.6741034687693337;40.43191845335916;1332.0;390.0;66.0;36.0;5.0;341.0;6.0;54.99999999999999
1.0;0.0;2.0;43.0;1.0;0.0;1.0;1.0;1568.8;28010.0;250.00000000000003;-3.702255652717032;40.433520402641385;1593.0;505.4;0.0;0.0;1.0;0.0;0.0;37.0
1.0;1.0;1.0;36.6;0.0;1.0;1.0;1.0;735.0;28014.0;236.0;-3.679310095979366;40.4060201210299;95.0;330.0;3.0;2.0;2.0;3.0000000000000004;1.0;30.0
2.0;1.0;3.0;28.000000000000004;1.0;0.0;3.0;1.0;1749.9999999999998;28027.0;184.0;-3.65252710726821;40.43241750629615;347.0;517.8000000000001;1.0;0.0;1.0;216.0;0.0;40.0
1.0;1.0;2.0;20.0;1.0;0.0;1.0;1.0;996.0;28014.0;100.0;-3.697755876992627;40.41488772939484;1903.0;500.00000000000006;0.0;0.0;1.0;265.0;0.0;83.0
1.0;1.0;1.0;30.0;0.0;1.0;1.0;1.0;500.0;28030.0;200.0;-3.648018365050618;40.40098289155571;874.0;190.0;32.0;2.0;4.0;307.0;0.0;30.0
1.0;1.0;1.0;33.00000000000001;0.0;1.0;1.0;1.0;1457.9999999999998;28045.0;160.0;-3.694107534465892;40.39281616828248;857.0;361.0;53.0;32.0;2.0;53.00000000000001;14.0;20.0
1.0;1.0;4.0;32.0;1.0;0.0;1.0;2.0;1620.0;28012.000000000004;200.0;-3.70301852198919;40.415963435628;1971.0;445.0;23.000000000000004;10.0;51.0;240.0;2.0;82.00000000000001
1.0;0.0;2.0;16.8;1.0;0.0;2.0;1.0;1769.9999999999998;28014.0;200.0;-3.694541494269736;40.41106844510625;239.0;363.0;74.0;44.0;39.0;349.0;15.0;89.00000000000001
1.0;1.0;4.0;15.000000000000002;1.0;0.0;2.0;2.0;1480.0;28014.0;100.0;-3.6954966191094862;40.4127268809473;371.00000000000006;400.0;29.0;16.0;1.0;285.0;6.0;54.99999999999999
